'Date, 'Time, 'Latitude, 'Longitude, 'SOG, 'COG, 'TWS, 'TWA, 'TWD, 'Comment, 
'Date, 'Time, 'Latitude, 'Longitude, 'SOG, 'COG, 'TWS, 'TWA, 'TWD, 'Comment, 
18/08/2026, 06:00:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 356° M, 02.7, 051° Port, 040° M, , 
'Date, 'Time, 'Latitude, 'Longitude, 'SOG, 'COG, 'TWS, 'TWA, 'TWD, 'Comment, 
18/08/2026, 06:00:30 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 01.9, 003° Port, 039° M, , 
18/08/2026, 06:01:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 350° M, 02.7, 040° Port, 038° M, , 
18/08/2026, 06:01:18 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 03.5, 046° Stbd, 038° M, , 
18/08/2026, 06:01:50 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 356° M, 00.4, 040° Stbd, 038° M, , 
18/08/2026, 06:02:20 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 352° M, 02.1, 036° Stbd, 036° M, , 
18/08/2026, 06:02:50 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 357° M, 00.5, 046° Port, 038° M, , 
18/08/2026, 06:03:15 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 00.4, 017° Stbd, 041° M, , 
18/08/2026, 06:03:45 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 355° M, 01.6, 044° Stbd, 048° M, , 
18/08/2026, 06:04:02 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 355° M, 01.4, 052° Stbd, 051° M, , 
18/08/2026, 06:04:19 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 350° M, 01.7, 041° Stbd, 038° M, , 
18/08/2026, 06:04:48 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 01.4, 034° Port, 042° M, , 
18/08/2026, 06:05:05 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 02.1, 031° Port, 042° M, , 
